𦣝	7787
手	7789
𠦬	8067
女	8069
毋	8314
民	8316
丿	8318
𠂆	8322
乁	8324
氏	8326
氐	8328
戈	8332
戉	8358
我	8360
亅	8362
𤦡	8364
𠃑	8368
兦	8370
匸	8375
匚	8382
曲	8401
𠙹	8404
瓦	8409
弓	8436
弜	8463
𢎺	8465
𢁴	8469
糸	8473
𦃃	8731
絲	8737
率	8740
虫	8741
䖵	8901
蟲	8926
風	8932
它	8948
龜	8949
𪓑	8952
卵	8966
二	8968
土	8974
垚	9118
𡏳	9120
里	9122
田	9125
畕	9154
黃	9156
男	9162
𠠲	9165
劦	9209
金	9213
幵	9417
勺	9418
几	9420
且	9424
斤	9427
𤣫	9442
矛	9459
車	9465
𠂤	9567
𨸏	9570
𨺅	9664
厽	9668
四	9671
宁	9672
叕	9674
亞	9676
五	9678
六	9679
𠀁	9680
九	9681
𠘯	9683
𠾧	9690
甲	9692
乙	9693
丙	9697
丁	9698
戊	9699
己	9701
𢀳	9704
𠩖	9706
辛	9707
辡	9713
壬	9715
癸	9716
子	9717
了	9732
孨	9735
𠫓	9738
丑	9741
𡩟	9744
戼	9745
𨑃	9746
巳	9748
午	9750
未	9752
𦥔	9753
酉	9757
酋	9830
戌	9832
亥	9833
