善	shàn
坐	zuò
舜	Shùn
父	fù
大父	dàfù
箕	jī
作	zuò
樂	lè
樂	yuè
樂	yào
奴	nú
近	jìn
近	jìn
是	shì
是	shì
著/箸	zhù
社	shè
會	huì
會	kuài
族	zú
由	yóu
與/予	yǔ
與	yǔ
與	yù
月	yuè
冬	dōng
北	běi
湯	Tāng
兄	xiōng
弟	dì
弟子	dìzǐ
臣	chén
大夫	dàfū
夫	fú
夫	fú
夫	fū
夫人	fūrén
夫子	fūzǐ
婦	fù
婦人	fùrén
長	cháng
長	zhǎng
長	zhǎng
男	nán
倫	lún
土	tǔ
酒	jiǔ
肉	ròu
川	chuān
彼	bǐ
命	mìng
仁	rén
汝/女	ru
金	jīn
林	lín
堂	táng
玉	yù
若	ruò
若	ruò
寡	gua
寡人	guǎrén
弱	ruò
強/彊/强	qiáng
齊	qí
齊	Qí
飛	fēi
鳥	niaǒ
衣	yī
衣	yì
衣	yì
農	nóng
工	gōng
陽	yáng
貴	guì
食	shí
食	sì
越	yuè
越	Yuè
手	shǒu
寄	jì
典	diǎn
明	míng
呼	hū
報	bào
報	bào
齒	chǐ
犬	quǎn
半	bàn
牛	niú
聲	shēng
青	qīng
加	jiā
江	Jiāng
雜	zá
固	gù
良	liáng
良人	liángrén
車	chē
船	chuán
魚	yú
亂	luàn
必	bì
誠	chéng
成	chéng
瞽	gu
主	zhu
主	zhu
制	zhì
歟/與	yú
耶/邪	yé
邪	xié
真/眞	zhēn
丘	qiū
柏	bǎi
音	yīn
據	jù
給	gěi
李	lǐ
白	bái
故	gù
兵	bīng
引	yǐn
亦	yì
遠	yuǎn
遠	yuàn
簡	jiǎn
簡	jiaň
簡	Jiǎn
弒	shì
敗	bài
敗	bài
盡	jǐn
盡	jìn
聞	wén
聞	wèn
見	jiàn
見	xiàn
志	zhì
軍	jūn
止	zhǐ
短	duǎn
多	duō
往	wǎng
恐	kǒng
懼	jù
懼	jù
毋/無/无	wú
甚	shèn
果	guǒ
買	mǎi
能	néng
敢	gǎn
肯	kěn
知	zhī
務	wù
宜	yí
深	shēn
火	huǒ
熱	rè
訟	sòng
蔡	Cài
棺	guān
色	sè
罪	zuì
請	qǐng
免	miǎn
害	hài
殺	shā
欺	qī
罔	wǎng
罔	wǎng
勢	shì
憂	yōu
侵	qīn
觀	guān
觀	guàn
伐	fá
伐	fá
甘	gān
井	jǐng
竭	jié
形/刑	xíng
除	chú
監	jiān
藍	lán
事	shì
卒	zú
卒	zú
卒	cù
徒	tú
徒	tú
里	lǐ
里	lı̌
愚	yú
廣	guǎng
飲	yǐn
飲	yìn
惡	è
惡	wù
惡	wū
視	shì
示	shì
椁	guǒ
奪	duó
聽	tīng
告	gào
賜	cì
錢	qián
弗	fú
勿	wù
患	huàn
亡	wáng
亡/亾	wáng
忘	wàng
失	shī
毀	huǐ
順	shùn
忍	rěn
詐	zhà
諸	zhū
諸	zhū
取/趣	qǔ
桀	Jié
紂	Zhòu
滕	Téng
求	qiú
救	jiù
叛/畔	pàn
帥/率	shuài
帥/率	shuài
匹夫	pıf̌ ū
和	hé
和	hè
倉	cāng
廩	lǐn
門	mén
門	人ménrén
門	下ménxià
社稷	shèjí
歲	suì
貨	huò
敵	dí
禍	huò
薪	xīn
喪	sāng
喪	sàng
玄	xuán
又/有	yòu
犯	fàn
位	wèi
如	rú
如	rú
傷	shāng
刑	xíng
危	wēi
末	mò
執	zhí
執政	zhízhèng
右	yòu
左右	zuǒyòu
重	zhòng
重	chóng
黑	hēi
冠	guān
冠	guàn
冠	guàn
路	lù
仲	zhòng
鄭	Zhèng
漆	qī
輪	lún
姬	Jī
任	rén
任	rèn
晉	Jìn
然	rán
然	rán
然而	ránér
然後	ránhòu
然則	ránzé
殆	dài
蓋	gài
庶人	shùrén
幾	jī
幾	jǐ
幾何	jǐh é
庶幾	shùjī
畏	wèi
圖	tú
改	gǎi
都	dū
莫	mò
孰	shú
舉	jǔ
舉	jǔ
兼	jiān
遍/徧	biàn
侯	hóu
諸侯	zhūhóu
異	yì
夜	yè
晝	zhòu
豕	shǐ
立	lì
離	lí
裂	liè
蔬/疏	shū
囂囂	xiāoxiāo
曰	yuē
怫然	fúrán
填/塡	tián
相	xiāng
相	xiàng
怒	nù
怒	nù
鼓	gǔ
遇	yù
哭	kū
臥/卧	wò
保	bǎo
同	tóng
戶	hù
兒	ér
啼	tí
醒	xǐng
鵠	hú
浴	yù
淵	yuān
喟	kuì
歎/嘆	tàn
伏	fú
禹	Yǔ
貢	gòng
誓	shì
登	dēng
啟	qǐ
共/供	gōng
共	gòng
方	fāng
方	fāng
方	fāng
功	gōng
靜	jìng
違	wéi
象	xiàng
象	xiàng
恭	gōng
嗣	sì
開	kāi
凶	xiōng
聚	jù
布	bù
稽	qǐ
考	kǎo
考	kǎo
皮	pí
于	yú
焉	yān
焉	yán
起	qǐ
司空	sīkōng
空	kōng
游/遊	yóu
降	jiàng
降	xiáng
陋	lòu
巷	xiàng
隱	yǐn
蕩/盪	dàng
福	fú
輕	qīng
羽	yǔ
智/知	zhì
爭/争	zhēng
託	tuō
魏	Wèi
委	wěi
景	Jǐng
弓	gōng
克	kè
牧	mù
野	yě
紳	shēn
邑	yì
岐	Qí
未	wèi
未	wèi
朝	cháo
朝	zhāo
將	jiāng
將	jiàng
勸	quàn
錯/措	cù
廟	miào
劍	jiàn
墜	zhuì
暮	mù
雨	yǔ
雨	yu
舟	zhōu
移	yí
決/决	jué
驪	Lí
顧	gù
剛	gāng
神	shén
神農	Shénnóng
伏羲	Fúxī
肱	gōng
擊	jī
賤	jiàn
鬼	guǐ
怨	yuàn
貫	guàn
鐸	duó
什	shí
寐	mèi
盍	hé
昆	kūn
胡	hú
交	jiāo
信	xìn
遊	yóu
罰	fá
祭	jì
廢	fèi
俱	jù
兩	liǎng
草	cǎo
稼	jià
始	shǐ
怠	dài
惑	huò
幹	gàn
源/原	yuán
惠	huì
鳴	míng
窺	kuī
牖	yǒu
巨/鉅	jù
荊	Jīng
腹	fù
骨	gǔ
親	qīn
衛	Wèi
穆	mù
丁	dīng
卯	mǎo
疾	jí
疾	jí
愈	yù
既/旣	jì
既而	jì'ér
衰	shuāi
猶	yóu
夷	Yí
終	zhōng
留	liú
寢	qǐn
睹	dǔ
微	wēi
微	wéi
服	fú
服	fú
燭	zhú
杯	bēi
束	shù
錦	jǐn
駟	sì
尺	chǐ
選	xuǎn
宮	gōng
凡	fán
力	lì
閉	bì
姑	gū
姑/家	gū
